Name;Email;SequencerTalk Supporter;Active;Newsletter
Sophia Müller;user1@example.de;Sinus;ja;;
Lukas Schmidt;user2@example.de;Sinus;ja;;
Emma Wagner;user3@example.de;Sinus;ja;;
Leon Fischer;user4@example.de;Sinus;ja;;
Hannah Weber;user5@example.de;Sinus;ja;;
Maximilian Becker;user6@example.de;Sinus;ja;;
Mia Schneider;user7@example.de;Sinus;ja;;
Elias Richter;user8@example.de;Sinus;ja;;
Emilia Keller;user9@example.de;Sinus;ja;;
Jonas Meier;user10@example.de;Sinus;ja;ja;
Laura Schäfer;user11@example.de;Sinus;ja;ja;
Paul Schulz;user12@example.de;Sinus;ja;;
Lina Lehmann;user13@example.de;Sinus;ja;;
Felix Hoffmann;user14@example.de;Sinus;ja;;
Amelie Koch;user15@example.de;Sinus;ja;;
Noah Bauer;user16@example.de;Sinus;ja;;
Sarah Braun;user17@example.de;Sinus;ja;;
David Schmitt;user18@example.de;Sinus;ja;;
Lea Zimmermann;user19@example.de;Sinus;ja;;
Alexander Krüger;user20@example.de;Sinus;nein;;
Johanna Schmid;user21@example.de;Sinus;nein;ja;
Luca Lange;user22@example.de;Sinus;nein;;
Clara Herrmann;user23@example.de;Sinus;nein;;
Timo Günther;user24@example.de;Sinus;nein;;
Marie Vogel;user25@example.de;Sinus;nein;;
Ben Hartmann;user26@example.de;Sinus;nein;;
Elena Wagner;user27@example.de;Sinus;nein;ja;
Moritz Kaiser;user28@example.de;Sinus;nein;;
Mia Hoffmann;user30@example.de;Sinus;nein;;
Finn Braun;user29@example.de;Sinus;nein;;
